timestamp,event
3208.333,synthetic_step
4041.667,synthetic_step
4875.0,synthetic_step
5708.333,synthetic_step
6541.667,synthetic_step
7375.0,synthetic_step
8208.333,synthetic_step
9041.667,synthetic_step
9875.0,synthetic_step
10708.333,synthetic_step
11541.667,synthetic_step
12375.0,synthetic_step
13208.333,synthetic_step
14041.667,synthetic_step
14875.0,synthetic_step
15708.333,synthetic_step
16541.667,synthetic_step
17375.0,synthetic_step
18208.333,synthetic_step
19041.667,synthetic_step
19875.0,synthetic_step
20708.333,synthetic_step
21541.667,synthetic_step
22375.0,synthetic_step
