timestamp,event
3125.0,synthetic_step
3625.0,synthetic_step
4125.0,synthetic_step
4625.0,synthetic_step
5125.0,synthetic_step
5625.0,synthetic_step
6125.0,synthetic_step
6625.0,synthetic_step
7125.0,synthetic_step
7625.0,synthetic_step
8125.0,synthetic_step
8625.0,synthetic_step
9125.0,synthetic_step
9625.0,synthetic_step
10125.0,synthetic_step
10625.0,synthetic_step
11125.0,synthetic_step
11625.0,synthetic_step
12125.0,synthetic_step
12625.0,synthetic_step
13125.0,synthetic_step
13625.0,synthetic_step
14125.0,synthetic_step
14625.0,synthetic_step
15125.0,synthetic_step
15625.0,synthetic_step
16125.0,synthetic_step
16625.0,synthetic_step
17125.0,synthetic_step
17625.0,synthetic_step
18125.0,synthetic_step
18625.0,synthetic_step
19125.0,synthetic_step
19625.0,synthetic_step
20125.0,synthetic_step
20625.0,synthetic_step
21125.0,synthetic_step
21625.0,synthetic_step
22125.0,synthetic_step
22625.0,synthetic_step
