timestamp,event
3083.333,synthetic_step
3416.667,synthetic_step
3750.0,synthetic_step
4083.333,synthetic_step
4416.667,synthetic_step
4750.0,synthetic_step
5083.333,synthetic_step
5416.667,synthetic_step
5750.0,synthetic_step
6083.333,synthetic_step
6416.667,synthetic_step
6750.0,synthetic_step
7083.333,synthetic_step
7416.667,synthetic_step
7750.0,synthetic_step
8083.333,synthetic_step
8416.667,synthetic_step
8750.0,synthetic_step
9083.333,synthetic_step
9416.667,synthetic_step
9750.0,synthetic_step
10083.333,synthetic_step
10416.667,synthetic_step
10750.0,synthetic_step
11083.333,synthetic_step
11416.667,synthetic_step
11750.0,synthetic_step
12083.333,synthetic_step
12416.667,synthetic_step
12750.0,synthetic_step
13083.333,synthetic_step
13416.667,synthetic_step
13750.0,synthetic_step
14083.333,synthetic_step
14416.667,synthetic_step
14750.0,synthetic_step
15083.333,synthetic_step
15416.667,synthetic_step
15750.0,synthetic_step
16083.333,synthetic_step
16416.667,synthetic_step
16750.0,synthetic_step
17083.333,synthetic_step
17416.667,synthetic_step
17750.0,synthetic_step
18083.333,synthetic_step
18416.667,synthetic_step
18750.0,synthetic_step
19083.333,synthetic_step
19416.667,synthetic_step
19750.0,synthetic_step
20083.333,synthetic_step
20416.667,synthetic_step
20750.0,synthetic_step
21083.333,synthetic_step
21416.667,synthetic_step
21750.0,synthetic_step
22083.333,synthetic_step
22416.667,synthetic_step
22750.0,synthetic_step
